,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date
18548,18549,2015,4,12,20,18.0,21.0,2.0,20.0,200.0,71.0,6.0,1025.7,-4.8,0.0,ENE,3.9,Dongsi,2015-04-12 20:00:00
18549,18550,2015,4,12,21,10.0,21.0,2.0,15.0,200.0,77.0,5.6,1026.5,-4.0,0.0,NE,3.5,Dongsi,2015-04-12 21:00:00
18550,18551,2015,4,12,22,12.0,26.0,2.0,12.0,200.0,81.0,4.7,1026.8,-2.4,0.0,NNE,3.4,Dongsi,2015-04-12 22:00:00
18551,18552,2015,4,12,23,14.0,14.0,2.0,11.0,200.0,82.0,5.4,1026.3,-3.4,0.0,NNE,2.8,Dongsi,2015-04-12 23:00:00
18552,18553,2015,4,13,0,15.0,15.0,2.0,14.0,200.0,78.0,5.6,1026.3,-3.8,0.0,NNE,3.3,Dongsi,2015-04-13 00:00:00
18553,18554,2015,4,13,1,14.0,14.0,2.0,15.0,200.0,73.0,6.0,1026.1,-3.4,0.0,NNE,3.2,Dongsi,2015-04-13 01:00:00
18554,18555,2015,4,13,2,12.0,18.0,2.0,14.0,200.0,60.0,5.0,1026.1,-1.7,0.0,NE,3.8,Dongsi,2015-04-13 02:00:00
18555,18556,2015,4,13,3,13.0,13.0,2.0,9.0,400.0,58.0,4.9,1025.9,-0.9,0.1,NE,3.8,Dongsi,2015-04-13 03:00:00
18556,18557,2015,4,13,4,12.0,39.0,2.0,10.0,200.0,80.0,5.3,1025.4,-1.8,0.1,NE,4.8,Dongsi,2015-04-13 04:00:00
18557,18558,2015,4,13,5,18.0,18.0,2.0,12.0,300.0,80.0,6.2,1025.0,-2.9,0.0,N,3.1,Dongsi,2015-04-13 05:00:00
18558,18559,2015,4,13,6,15.0,15.0,2.0,13.0,300.0,79.0,6.3,1024.8,-2.8,0.0,N,2.2,Dongsi,2015-04-13 06:00:00
18559,18560,2015,4,13,7,16.0,19.0,2.0,18.0,400.0,77.0,7.2,1024.8,-3.7,0.0,N,2.4,Dongsi,2015-04-13 07:00:00
18560,18561,2015,4,13,8,22.0,32.0,2.0,25.0,400.0,71.0,7.9,1024.9,-3.6,0.0,NNE,4.0,Dongsi,2015-04-13 08:00:00
18561,18562,2015,4,13,9,16.0,37.0,2.0,19.0,400.0,81.0,9.6,1024.4,-3.0,0.0,N,2.7,Dongsi,2015-04-13 09:00:00
18562,18563,2015,4,13,10,22.0,34.0,2.0,16.0,400.0,87.0,11.2,1024.0,-3.0,0.0,NNE,2.5,Dongsi,2015-04-13 10:00:00
18563,18564,2015,4,13,11,22.0,30.0,2.0,13.0,400.0,95.0,12.8,1023.1,-1.9,0.0,N,2.2,Dongsi,2015-04-13 11:00:00
18564,18565,2015,4,13,12,31.0,35.0,4.0,14.0,400.0,105.0,14.3,1021.9,-1.4,0.0,NE,1.8,Dongsi,2015-04-13 12:00:00
18565,18566,2015,4,13,13,31.0,31.0,5.0,15.0,400.0,110.0,15.7,1020.6,-1.9,0.0,NNW,1.4,Dongsi,2015-04-13 13:00:00
18566,18567,2015,4,13,14,32.0,32.0,5.0,16.0,400.0,110.0,16.9,1019.2,-2.2,0.0,S,1.6,Dongsi,2015-04-13 14:00:00
18567,18568,2015,4,13,15,32.0,32.0,4.0,14.0,400.0,118.0,18.0,1017.5,-1.8,0.0,NNW,2.1,Dongsi,2015-04-13 15:00:00
18568,18569,2015,4,13,16,35.0,35.0,3.0,17.0,400.0,118.0,18.5,1016.1,-2.5,0.0,W,2.4,Dongsi,2015-04-13 16:00:00
18569,18570,2015,4,13,17,38.0,38.0,4.0,21.0,500.0,122.0,18.1,1015.2,-2.3,0.0,WSW,3.1,Dongsi,2015-04-13 17:00:00
18570,18571,2015,4,13,18,41.0,75.0,4.0,23.0,500.0,125.0,16.7,1014.6,-1.0,0.0,WSW,3.8,Dongsi,2015-04-13 18:00:00
18571,18572,2015,4,13,19,37.0,76.0,3.0,27.0,500.0,111.0,15.3,1014.0,0.7,0.0,WSW,3.0,Dongsi,2015-04-13 19:00:00
18572,18573,2015,4,13,20,47.0,85.0,3.0,32.0,600.0,93.0,14.7,1014.0,1.9,0.0,SW,4.0,Dongsi,2015-04-13 20:00:00
18573,18574,2015,4,13,21,51.0,71.0,3.0,34.0,600.0,86.0,14.0,1013.5,1.9,0.0,WSW,3.8,Dongsi,2015-04-13 21:00:00
18574,18575,2015,4,13,22,55.0,77.0,2.0,37.0,600.0,77.0,13.3,1012.4,2.2,0.0,WSW,3.8,Dongsi,2015-04-13 22:00:00
18575,18576,2015,4,13,23,61.0,88.0,2.0,44.0,700.0,62.0,12.1,1011.5,2.5,0.0,WSW,2.3,Dongsi,2015-04-13 23:00:00
18576,18577,2015,4,14,0,66.0,90.0,2.0,47.0,700.0,50.0,11.1,1010.6,2.9,0.0,W,2.0,Dongsi,2015-04-14 00:00:00
18577,18578,2015,4,14,1,65.0,107.0,2.0,51.0,700.0,40.0,8.6,1010.0,3.4,0.0,WNW,0.4,Dongsi,2015-04-14 01:00:00
18578,18579,2015,4,14,2,67.0,102.0,2.0,60.0,700.0,25.0,7.0,1009.3,3.8,0.0,SW,0.0,Dongsi,2015-04-14 02:00:00
18579,18580,2015,4,14,3,74.0,103.0,3.0,71.0,800.0,13.0,6.3,1008.6,4.0,0.0,ESE,0.3,Dongsi,2015-04-14 03:00:00
18580,18581,2015,4,14,4,72.0,106.0,2.0,80.0,800.0,6.0,5.5,1007.9,3.7,0.0,E,0.3,Dongsi,2015-04-14 04:00:00
18581,18582,2015,4,14,5,85.0,132.0,4.0,93.0,1400.0,2.0,5.2,1007.4,3.5,0.0,NE,0.7,Dongsi,2015-04-14 05:00:00
18582,18583,2015,4,14,6,82.0,145.0,4.0,101.0,1200.0,2.0,4.5,1007.6,3.2,0.0,SE,0.5,Dongsi,2015-04-14 06:00:00
18583,18584,2015,4,14,7,87.0,136.0,4.0,87.0,1100.0,5.0,8.3,1007.7,2.3,0.0,NNW,0.9,Dongsi,2015-04-14 07:00:00
18584,18585,2015,4,14,8,64.0,103.0,4.0,69.0,1000.0,21.0,11.2,1007.4,1.4,0.0,NNE,1.1,Dongsi,2015-04-14 08:00:00
18585,18586,2015,4,14,9,58.0,72.0,6.0,55.0,900.0,38.0,13.8,1006.8,0.1,0.0,NNE,1.4,Dongsi,2015-04-14 09:00:00
18586,18587,2015,4,14,10,54.0,87.0,9.0,56.0,900.0,43.0,17.3,1006.2,0.9,0.0,N,1.0,Dongsi,2015-04-14 10:00:00
18587,18588,2015,4,14,11,49.0,67.0,9.0,47.0,800.0,60.0,20.1,1005.2,-3.6,0.0,NW,1.5,Dongsi,2015-04-14 11:00:00
18588,18589,2015,4,14,12,53.0,83.0,8.0,51.0,800.0,68.0,22.3,1003.9,-4.0,0.0,WSW,2.4,Dongsi,2015-04-14 12:00:00
18589,18590,2015,4,14,13,58.0,109.0,6.0,58.0,800.0,75.0,24.0,1002.8,-3.4,0.0,SW,2.4,Dongsi,2015-04-14 13:00:00
18590,18591,2015,4,14,14,66.0,102.0,5.0,55.0,700.0,94.0,24.8,1001.3,-3.6,0.0,WSW,2.8,Dongsi,2015-04-14 14:00:00
18591,18592,2015,4,14,15,53.0,84.0,4.0,34.0,600.0,123.0,25.3,1000.0,-2.3,0.0,SW,3.3,Dongsi,2015-04-14 15:00:00
18592,18593,2015,4,14,16,49.0,87.0,5.0,28.0,500.0,130.0,25.5,999.2,-0.6,0.0,SW,4.1,Dongsi,2015-04-14 16:00:00
18593,18594,2015,4,14,17,49.0,113.0,6.0,24.0,500.0,133.0,24.9,998.9,1.1,0.0,SW,4.8,Dongsi,2015-04-14 17:00:00
18594,18595,2015,4,14,18,55.0,128.0,6.0,35.0,600.0,111.0,23.7,998.5,0.1,0.0,SW,4.8,Dongsi,2015-04-14 18:00:00
18595,18596,2015,4,14,19,58.0,131.0,6.0,47.0,700.0,95.0,22.4,998.7,0.2,0.0,SW,2.9,Dongsi,2015-04-14 19:00:00
18596,18597,2015,4,14,20,46.0,104.0,6.0,47.0,700.0,78.0,21.3,998.9,-0.7,0.0,SW,3.0,Dongsi,2015-04-14 20:00:00
18597,18598,2015,4,14,21,51.0,136.0,9.0,48.0,700.0,77.0,21.2,999.0,0.4,0.0,SW,4.0,Dongsi,2015-04-14 21:00:00
18598,18599,2015,4,14,22,53.0,115.0,9.0,46.0,700.0,71.0,20.3,998.8,0.1,0.0,SW,2.2,Dongsi,2015-04-14 22:00:00
18599,18600,2015,4,14,23,58.0,128.0,11.0,55.0,700.0,53.0,18.5,998.3,1.0,0.0,W,1.8,Dongsi,2015-04-14 23:00:00
18600,18601,2015,4,15,0,61.0,138.0,13.0,55.0,700.0,44.0,15.4,998.2,3.5,0.0,ESE,0.5,Dongsi,2015-04-15 00:00:00
18601,18602,2015,4,15,1,66.0,143.0,15.0,67.0,800.0,27.0,13.3,997.8,4.2,0.0,ESE,0.8,Dongsi,2015-04-15 01:00:00
18602,18603,2015,4,15,2,70.0,158.0,19.0,79.0,800.0,11.0,12.0,997.1,4.2,0.0,NE,0.6,Dongsi,2015-04-15 02:00:00
18603,18604,2015,4,15,3,72.0,157.0,15.0,87.0,800.0,2.0,10.8,996.7,4.5,0.0,NW,0.5,Dongsi,2015-04-15 03:00:00
18604,18605,2015,4,15,4,76.0,182.0,10.0,88.0,1200.0,6.0,10.0,996.0,5.2,0.0,ESE,0.4,Dongsi,2015-04-15 04:00:00
18605,18606,2015,4,15,5,88.0,231.0,9.0,102.0,1700.0,5.0,9.6,995.8,5.4,0.0,E,1.0,Dongsi,2015-04-15 05:00:00
18606,18607,2015,4,15,6,89.0,218.0,10.0,106.0,1400.0,4.0,9.3,996.2,4.9,0.0,ENE,1.2,Dongsi,2015-04-15 06:00:00
18607,18608,2015,4,15,7,92.0,237.0,12.0,102.0,1400.0,4.0,10.9,996.5,5.4,0.0,ENE,0.8,Dongsi,2015-04-15 07:00:00
18608,18609,2015,4,15,8,101.0,256.0,15.0,110.0,1600.0,5.0,13.8,996.3,4.9,0.0,ESE,0.9,Dongsi,2015-04-15 08:00:00
18609,18610,2015,4,15,9,119.0,240.0,22.0,116.0,1700.0,10.0,16.4,995.7,4.7,0.0,SSW,0.6,Dongsi,2015-04-15 09:00:00
18610,18611,2015,4,15,10,120.0,232.0,28.0,115.0,1400.0,19.0,18.1,995.7,5.0,0.0,NE,1.0,Dongsi,2015-04-15 10:00:00
18611,18612,2015,4,15,11,134.0,254.0,27.0,137.0,1600.0,19.0,19.3,995.2,5.0,0.0,E,1.3,Dongsi,2015-04-15 11:00:00
18612,18613,2015,4,15,12,134.687631877478,252.15012102106834,23.0,159.0,100.0,28.0,20.8,994.1,4.8,0.0,SE,1.4,Dongsi,2015-04-15 12:00:00
18613,18614,2015,4,15,13,116.53154924947681,216.80354718556032,15.0,148.0,1800.0,76.0,21.9,993.0,4.9,0.0,S,2.0,Dongsi,2015-04-15 13:00:00
18614,18615,2015,4,15,14,101.60969199673725,177.55519975727225,30.0,93.0,1200.0,75.0,23.2,992.2,5.6,0.0,S,1.3,Dongsi,2015-04-15 14:00:00
18615,18616,2015,4,15,15,112.0,164.0,33.0,63.0,1100.0,127.0,23.3,991.0,5.7,0.0,SSW,2.1,Dongsi,2015-04-15 15:00:00
18616,18617,2015,4,15,16,140.0,166.0,33.0,61.0,1100.0,130.0,23.9,990.3,6.2,0.0,SSE,1.5,Dongsi,2015-04-15 16:00:00
18617,18618,2015,4,15,17,139.0,180.0,31.0,68.0,1100.0,128.0,24.7,990.3,6.0,0.0,SSE,1.5,Dongsi,2015-04-15 17:00:00
18618,18619,2015,4,15,18,139.0,459.0,22.0,62.0,1000.0,112.0,23.5,993.6,2.9,0.0,NNW,4.8,Dongsi,2015-04-15 18:00:00
18619,18620,2015,4,15,19,284.0,577.2906171007983,2.0,15.0,200.0,84.0,20.6,996.0,0.4,0.0,NNW,6.0,Dongsi,2015-04-15 19:00:00
18620,18621,2015,4,15,20,126.0,500.68012094359705,2.0,15.0,200.0,86.0,18.8,998.5,-0.1,0.0,N,5.8,Dongsi,2015-04-15 20:00:00
18621,18622,2015,4,15,21,75.0,507.0,2.0,11.0,200.0,89.0,18.9,1000.1,-2.1,0.0,NNW,2.9,Dongsi,2015-04-15 21:00:00
18622,18623,2015,4,15,22,78.0,611.0,2.0,12.0,200.0,84.0,17.8,1000.9,-3.1,0.0,NW,3.4,Dongsi,2015-04-15 22:00:00
18623,18624,2015,4,15,23,84.0,610.0,2.0,8.0,200.0,91.0,17.6,1001.6,-7.0,0.0,N,4.0,Dongsi,2015-04-15 23:00:00
18624,18625,2015,4,16,0,81.0,469.0,2.0,7.0,200.0,93.0,16.6,1003.2,-9.4,0.0,NNW,3.6,Dongsi,2015-04-16 00:00:00
18625,18626,2015,4,16,1,77.0,541.0,2.0,5.0,200.0,97.0,16.1,1004.5,-15.6,0.0,N,3.3,Dongsi,2015-04-16 01:00:00
18626,18627,2015,4,16,2,57.0,387.0,2.0,6.0,200.0,96.0,14.9,1006.2,-16.5,0.0,NNW,4.4,Dongsi,2015-04-16 02:00:00
18627,18628,2015,4,16,3,39.0,205.0,2.0,8.0,200.0,92.0,14.1,1006.9,-16.0,0.0,NNW,4.4,Dongsi,2015-04-16 03:00:00
18628,18629,2015,4,16,4,27.0,138.0,2.0,9.0,200.0,87.0,13.3,1007.4,-15.6,0.0,NW,2.5,Dongsi,2015-04-16 04:00:00
18629,18630,2015,4,16,5,17.0,85.0,2.0,5.0,200.0,89.0,12.9,1007.8,-14.9,0.0,NW,3.9,Dongsi,2015-04-16 05:00:00
18630,18631,2015,4,16,6,11.0,78.0,2.0,7.0,200.0,85.0,12.3,1009.3,-14.5,0.0,NW,4.5,Dongsi,2015-04-16 06:00:00
18631,18632,2015,4,16,7,10.0,51.0,2.0,11.0,200.0,81.0,12.7,1010.2,-14.2,0.0,NW,4.2,Dongsi,2015-04-16 07:00:00
18632,18633,2015,4,16,8,4.0,35.0,2.0,10.0,300.0,80.0,13.4,1010.5,-14.5,0.0,NW,5.5,Dongsi,2015-04-16 08:00:00
18633,18634,2015,4,16,9,13.0,30.0,2.0,9.0,300.0,83.0,14.0,1010.4,-14.1,0.0,NW,6.8,Dongsi,2015-04-16 09:00:00
18634,18635,2015,4,16,10,10.0,39.0,2.0,10.0,300.0,84.0,15.3,1010.4,-14.0,0.0,NW,5.0,Dongsi,2015-04-16 10:00:00
18635,18636,2015,4,16,11,6.0,22.0,2.0,9.0,200.0,88.0,16.4,1010.1,-12.1,0.0,NW,4.1,Dongsi,2015-04-16 11:00:00
18636,18637,2015,4,16,12,10.0,26.0,2.0,9.0,200.0,89.0,17.1,1009.5,-13.7,0.0,NW,5.6,Dongsi,2015-04-16 12:00:00
18637,18638,2015,4,16,13,12.0,31.0,2.0,9.0,200.0,96.0,18.7,1008.0,-14.9,0.0,W,6.0,Dongsi,2015-04-16 13:00:00
18638,18639,2015,4,16,14,7.0,27.0,2.0,10.0,200.0,97.0,20.2,1007.4,-12.4,0.0,WNW,5.4,Dongsi,2015-04-16 14:00:00
18639,18640,2015,4,16,15,10.0,28.0,2.0,10.0,200.0,101.0,20.8,1006.0,-13.3,0.0,WNW,5.4,Dongsi,2015-04-16 15:00:00
18640,18641,2015,4,16,16,14.0,26.0,2.0,11.0,200.0,101.0,20.9,1005.0,-13.2,0.0,WNW,4.8,Dongsi,2015-04-16 16:00:00
18641,18642,2015,4,16,17,15.0,60.0,2.0,17.0,200.0,98.0,19.7,1004.9,-11.6,0.0,SW,5.5,Dongsi,2015-04-16 17:00:00
18642,18643,2015,4,16,18,20.0,102.0,2.0,23.0,300.0,94.0,18.5,1004.5,-9.5,0.0,SW,5.2,Dongsi,2015-04-16 18:00:00
18643,18644,2015,4,16,19,22.0,110.0,3.0,27.0,300.0,90.0,17.9,1004.7,-8.3,0.0,SW,6.3,Dongsi,2015-04-16 19:00:00
18644,18645,2015,4,16,20,36.0,149.0,4.0,29.0,300.0,87.0,17.4,1005.3,-6.5,0.0,SW,4.8,Dongsi,2015-04-16 20:00:00
18645,18646,2015,4,16,21,32.0,150.0,6.0,33.0,300.0,76.0,17.0,1006.0,-6.2,0.0,WSW,6.6,Dongsi,2015-04-16 21:00:00
18646,18647,2015,4,16,22,41.0,160.0,12.0,36.0,400.0,66.0,16.5,1006.2,-5.3,0.0,WSW,7.6,Dongsi,2015-04-16 22:00:00
18647,18648,2015,4,16,23,42.0,170.0,15.0,39.0,400.0,56.0,15.9,1006.3,-5.2,0.0,WSW,5.7,Dongsi,2015-04-16 23:00:00
18648,18649,2015,4,17,0,47.0,181.0,12.0,44.0,400.0,47.0,15.3,1006.2,-4.6,0.0,WSW,4.9,Dongsi,2015-04-17 00:00:00
18649,18650,2015,4,17,1,53.0,165.0,13.0,43.0,400.0,44.0,15.1,1005.6,-5.4,0.0,WSW,5.2,Dongsi,2015-04-17 01:00:00
18650,18651,2015,4,17,2,50.0,168.0,12.0,40.0,400.0,37.0,14.3,1005.3,-5.5,0.0,WSW,3.2,Dongsi,2015-04-17 02:00:00
18651,18652,2015,4,17,3,45.0,166.0,12.0,39.0,500.0,31.0,14.0,1004.6,-5.2,0.0,WSW,3.5,Dongsi,2015-04-17 03:00:00
18652,18653,2015,4,17,4,46.0,160.0,13.0,37.0,300.0,41.0,12.9,1004.7,-4.7,0.0,W,2.2,Dongsi,2015-04-17 04:00:00
18653,18654,2015,4,17,5,45.0,147.0,14.0,44.0,500.0,32.0,11.3,1004.5,-3.6,0.0,WSW,1.5,Dongsi,2015-04-17 05:00:00
18654,18655,2015,4,17,6,43.0,156.0,13.0,55.0,600.0,20.0,9.1,1005.0,-2.2,0.0,WSW,0.6,Dongsi,2015-04-17 06:00:00
18655,18656,2015,4,17,7,112.0,171.0,12.0,66.0,900.0,12.0,10.9,1005.1,0.0,0.0,ENE,0.9,Dongsi,2015-04-17 07:00:00
18656,18657,2015,4,17,8,240.0,240.0,17.0,59.0,900.0,22.0,14.0,1005.4,-1.2,0.0,E,1.5,Dongsi,2015-04-17 08:00:00
18657,18658,2015,4,17,9,179.89689653006866,195.0,12.0,69.0,900.0,20.0,15.4,1006.0,-0.4,0.0,NE,1.4,Dongsi,2015-04-17 09:00:00
18658,18659,2015,4,17,10,69.0,185.0,11.0,78.0,1000.0,22.0,17.3,1006.1,-0.9,0.0,NW,0.9,Dongsi,2015-04-17 10:00:00
18659,18660,2015,4,17,11,70.0,187.0,12.0,88.0,1100.0,24.0,19.0,1005.6,-2.1,0.0,SSE,1.6,Dongsi,2015-04-17 11:00:00
18660,18661,2015,4,17,12,82.0,202.0,20.0,87.0,1100.0,37.0,20.4,1004.5,-1.4,0.0,SSW,2.6,Dongsi,2015-04-17 12:00:00
18661,18662,2015,4,17,13,76.0,172.0,20.0,63.0,800.0,65.0,22.0,1003.8,-2.0,0.0,SW,3.8,Dongsi,2015-04-17 13:00:00
18662,18663,2015,4,17,14,80.0,173.0,22.0,44.0,700.0,91.0,23.8,1003.1,-1.2,0.0,WSW,5.1,Dongsi,2015-04-17 14:00:00
18663,18664,2015,4,17,15,76.0,184.0,23.0,38.0,600.0,102.0,25.0,1002.3,-3.5,0.0,SW,4.0,Dongsi,2015-04-17 15:00:00
18664,18665,2015,4,17,16,70.0,162.0,23.0,34.0,600.0,115.0,25.2,1002.0,-3.3,0.0,SW,4.4,Dongsi,2015-04-17 16:00:00
18665,18666,2015,4,17,17,79.0,183.0,25.0,35.0,600.0,114.0,24.3,1002.1,-2.3,0.0,SW,4.0,Dongsi,2015-04-17 17:00:00
18666,18667,2015,4,17,18,77.0,182.0,19.0,42.0,700.0,104.0,23.6,1002.1,-4.6,0.0,SW,3.9,Dongsi,2015-04-17 18:00:00
18667,18668,2015,4,17,19,84.0,196.0,23.0,44.0,700.0,107.0,22.3,1003.2,0.1,0.0,SW,2.8,Dongsi,2015-04-17 19:00:00
18668,18669,2015,4,17,20,111.0,255.0,48.0,62.0,1100.0,89.0,21.0,1003.9,3.2,0.0,SSW,1.4,Dongsi,2015-04-17 20:00:00
18669,18670,2015,4,17,21,119.0,264.0,49.0,76.0,1300.0,70.0,19.3,1004.9,4.2,0.0,SSE,0.9,Dongsi,2015-04-17 21:00:00
18670,18671,2015,4,17,22,460.0,460.0,37.0,71.0,1100.0,71.0,18.5,1005.2,5.3,0.0,SE,1.0,Dongsi,2015-04-17 22:00:00
18671,18672,2015,4,17,23,196.0,239.0,36.0,69.0,1000.0,68.0,17.5,1005.4,5.1,0.0,SE,0.7,Dongsi,2015-04-17 23:00:00
18672,18673,2015,4,18,0,110.0,253.0,34.0,110.0,1200.0,33.0,16.7,1005.6,5.3,0.0,ESE,0.8,Dongsi,2015-04-18 00:00:00
18673,18674,2015,4,18,1,118.0,260.0,30.0,117.0,1100.0,23.0,16.0,1005.7,5.9,0.0,E,0.7,Dongsi,2015-04-18 01:00:00
18674,18675,2015,4,18,2,116.0,263.0,28.0,129.0,1100.0,11.0,17.3,1005.7,4.6,0.0,SE,1.2,Dongsi,2015-04-18 02:00:00
18675,18676,2015,4,18,3,134.0,260.0,26.0,130.0,1100.0,4.0,16.4,1005.7,5.0,0.0,ENE,0.6,Dongsi,2015-04-18 03:00:00
18676,18677,2015,4,18,4,130.0,259.0,25.0,119.0,1000.0,3.0,14.8,1005.5,6.4,0.0,NW,0.0,Dongsi,2015-04-18 04:00:00
18677,18678,2015,4,18,5,121.0,255.0,23.0,100.0,1000.0,7.0,13.7,1005.8,7.0,0.0,E,0.7,Dongsi,2015-04-18 05:00:00
18678,18679,2015,4,18,6,126.0,265.0,24.0,109.0,1200.0,3.0,14.1,1006.2,6.7,0.0,NE,0.9,Dongsi,2015-04-18 06:00:00
18679,18680,2015,4,18,7,132.0,282.0,22.0,119.0,1300.0,3.0,14.4,1006.6,7.0,0.0,ENE,1.0,Dongsi,2015-04-18 07:00:00
18680,18681,2015,4,18,8,141.0,293.0,23.0,119.0,1500.0,3.0,15.2,1007.0,7.5,0.0,ENE,0.4,Dongsi,2015-04-18 08:00:00
18681,18682,2015,4,18,9,159.0,303.0,32.0,116.0,1700.0,9.0,16.7,1007.0,7.6,0.0,ESE,1.0,Dongsi,2015-04-18 09:00:00
18682,18683,2015,4,18,10,168.0,314.0,43.0,107.0,1700.0,27.0,18.1,1007.3,8.1,0.0,NE,1.7,Dongsi,2015-04-18 10:00:00
18683,18684,2015,4,18,11,178.0,312.0,42.0,111.0,1800.0,42.0,20.2,1007.2,8.8,0.0,E,1.1,Dongsi,2015-04-18 11:00:00
18684,18685,2015,4,18,12,176.0,315.0,40.0,107.0,1600.0,60.0,20.8,1007.0,9.1,0.0,E,1.7,Dongsi,2015-04-18 12:00:00
18685,18686,2015,4,18,13,167.0,290.0,37.0,93.0,1500.0,83.0,21.1,1006.6,8.7,0.0,ENE,2.2,Dongsi,2015-04-18 13:00:00
18686,18687,2015,4,18,14,173.0,306.0,37.0,88.0,1600.0,100.0,21.2,1005.9,9.4,0.0,ESE,2.1,Dongsi,2015-04-18 14:00:00
18687,18688,2015,4,18,15,179.0,311.0,38.0,94.0,1800.0,99.0,21.0,1005.6,10.2,0.0,E,1.9,Dongsi,2015-04-18 15:00:00
18688,18689,2015,4,18,16,186.0,322.0,41.0,96.0,2300.0,94.0,21.1,1005.2,10.0,0.0,E,2.2,Dongsi,2015-04-18 16:00:00
18689,18690,2015,4,18,17,190.0,318.0,51.0,94.0,3000.0,97.0,21.0,1005.2,9.6,0.0,ESE,2.1,Dongsi,2015-04-18 17:00:00
18690,18691,2015,4,18,18,175.0,310.0,52.0,87.0,3100.0,100.0,20.5,1006.0,9.7,0.0,SW,0.3,Dongsi,2015-04-18 18:00:00
18691,18692,2015,4,18,19,174.0,297.0,51.0,86.0,3000.0,96.0,19.4,1006.5,10.7,0.0,ESE,0.5,Dongsi,2015-04-18 19:00:00
18692,18693,2015,4,18,20,138.67919179045586,221.56494575280556,43.37538945892822,83.8310441748662,2673.3800632234097,83.98516436545111,17.8,1007.7,7.2,0.3,ESE,0.6,Dongsi,2015-04-18 20:00:00
18693,18694,2015,4,18,21,75.02565327093046,98.48692527772124,28.04172589022707,78.9320741067999,2099.8765427542885,63.938970956545134,18.1,1007.9,6.9,0.0,WNW,1.7,Dongsi,2015-04-18 21:00:00
18694,18695,2015,4,18,22,75.0,75.0,12.9371993764124,71.31706698533368,1526.4347509080237,46.67329206936661,17.6,1008.3,9.5,0.0,WSW,2.1,Dongsi,2015-04-18 22:00:00
18695,18696,2015,4,18,23,131.0,142.0,6.0,61.0,1200.0,43.0,16.4,1008.3,10.9,0.0,WSW,1.9,Dongsi,2015-04-18 23:00:00
18696,18697,2015,4,19,0,121.0,121.0,6.0,50.0,1100.0,49.0,16.3,1008.4,10.2,0.0,W,2.0,Dongsi,2015-04-19 00:00:00
18697,18698,2015,4,19,1,114.0,114.0,6.0,50.0,1100.0,42.0,15.6,1008.2,10.1,0.0,W,1.8,Dongsi,2015-04-19 01:00:00
18698,18699,2015,4,19,2,114.0,114.0,7.0,58.0,1100.0,26.0,15.3,1008.7,10.3,0.0,W,2.2,Dongsi,2015-04-19 02:00:00
18699,18700,2015,4,19,3,100.0,100.0,7.0,59.0,800.0,19.0,14.9,1008.2,10.3,0.0,W,1.0,Dongsi,2015-04-19 03:00:00
18700,18701,2015,4,19,4,72.52316376572801,72.71566592506332,6.433235028836839,50.576511291802674,567.7636606930135,23.452073750701203,15.2,1008.2,8.2,0.0,N,1.4,Dongsi,2015-04-19 04:00:00
18701,18702,2015,4,19,5,50.0,50.0,5.6624940011757605,36.345711865068644,472.4691312062007,35.89713181053478,15.6,1008.8,6.8,0.0,NNE,1.6,Dongsi,2015-04-19 05:00:00
18702,18703,2015,4,19,6,49.0,49.0,6.0,38.0,500.0,36.0,14.2,1009.5,6.8,0.0,NNE,1.0,Dongsi,2015-04-19 06:00:00
18703,18704,2015,4,19,7,55.0,65.0,7.0,53.0,600.0,25.0,15.9,1010.3,1.2,0.0,NNE,2.0,Dongsi,2015-04-19 07:00:00
18704,18705,2015,4,19,8,41.0,82.0,5.0,45.0,500.0,33.0,17.0,1010.9,-4.3,0.0,NE,2.6,Dongsi,2015-04-19 08:00:00
18705,18706,2015,4,19,9,82.0,130.0,2.0,18.0,300.0,69.0,17.5,1011.6,-5.1,0.0,NNE,3.8,Dongsi,2015-04-19 09:00:00
18706,18707,2015,4,19,10,66.0,127.0,2.0,10.0,300.0,82.0,18.0,1012.1,-9.1,0.0,NE,4.0,Dongsi,2015-04-19 10:00:00
18707,18708,2015,4,19,11,63.0,92.0,2.0,11.0,300.0,89.0,18.6,1012.0,-12.5,0.0,NE,4.5,Dongsi,2015-04-19 11:00:00
18708,18709,2015,4,19,12,55.0,89.0,2.0,10.0,300.0,96.0,19.4,1011.4,-10.8,0.0,NE,3.4,Dongsi,2015-04-19 12:00:00
18709,18710,2015,4,19,13,50.0,87.0,2.0,9.0,300.0,101.0,19.9,1011.0,-11.5,0.0,NNW,2.5,Dongsi,2015-04-19 13:00:00
18710,18711,2015,4,19,14,47.0,87.0,2.0,10.0,300.0,102.0,20.4,1010.4,-11.1,0.0,NE,2.8,Dongsi,2015-04-19 14:00:00
18711,18712,2015,4,19,15,46.0,76.0,2.0,13.0,300.0,103.0,21.1,1009.6,-10.6,0.0,WSW,1.1,Dongsi,2015-04-19 15:00:00
18712,18713,2015,4,19,16,42.0,78.0,2.0,16.0,300.0,101.0,21.3,1008.7,-10.4,0.0,E,2.4,Dongsi,2015-04-19 16:00:00
18713,18714,2015,4,19,17,40.0,84.0,2.0,16.0,300.0,101.0,21.3,1008.8,-11.6,0.0,ESE,1.6,Dongsi,2015-04-19 17:00:00
